IV,Delta,Gamma,Theta,Change
255.0,254.99999999999997,0.0,255.0,BUY
205.23788404160956,254.99999999999997,6.297202569086734e-127,255.0,BUY
188.97266349487947,254.99999999999997,2.4889280970360997e-108,255.0,BUY
181.3849689541166,254.99999999999997,3.7414709840427676e-100,255.0,BUY
174.15712442544958,254.99999999999997,1.2768368685308719e-92,255.0,BUY
167.28912990887832,254.99999999999997,1.1474019354627999e-85,255.0,BUY
160.6576082573986,254.99999999999997,3.088253211854302e-79,255.0,BUY
154.27284089992744,254.99999999999997,2.7857844331935984e-73,255.0,BUY
148.07313926296268,254.99999999999997,9.294958885142e-68,255.0,BUY
142.16131763567455,254.99999999999997,1.2512929032994422e-62,255.0,BUY
136.44484315780986,254.99999999999997,7.33994728450687e-58,255.0,BUY
130.90315297153458,254.99999999999997,2.008823380019368e-53,255.0,BUY
125.53624707684867,254.99999999999997,2.7264161136176836e-49,255.0,BUY
120.35440690266915,254.99999999999997,1.9380015143202145e-45,255.0,BUY
115.2959438754939,254.99999999999997,7.577428949853807e-42,255.0,BUY
110.4225465688251,254.99999999999997,1.7032524991863717e-38,255.0,BUY
105.66224498024354,254.99999999999997,2.290646408664969e-35,255.0,BUY
101.01503910974921,254.99999999999997,1.911004843179812e-32,255.0,BUY
96.50149181517621,254.99999999999997,1.0220061780022804e-29,255.0,BUY
92.10104023869043,254.99999999999997,3.6101119697018386e-27,255.0,BUY
87.82396580920894,254.99999999999997,8.655981907920596e-25,255.0,BUY
83.6085799532296,254.99999999999997,1.444382372990813e-22,255.0,BUY
79.5165712442545,254.99999999999997,1.7161507485369723e-20,255.0,BUY
75.47596967986453,254.99999999999997,1.4827314053470895e-18,255.0,BUY
71.55874526247885,254.99999999999997,9.497316054936816e-17,255.0,BUY
67.70320941859529,254.99999999999997,4.591044708525579e-15,255.0,BUY
63.97105072171599,254.99999999999997,1.7027159993826996e-13,254.99999999999983,BUY
60.23889202483671,254.99999999999997,4.919308625648665e-12,254.99999999999514,BUY
56.619829046044686,254.99999999999486,1.1228490159229648e-10,254.99999999988856,BUY
53.06245464075478,254.99999999988776,2.0515209551581683e-09,254.99999999796336,BUY
49.515361664381906,254.9999999982353,3.03701451969028e-08,254.99999996984067,BUY
46.0813644060963,254.9999999773933,3.6842204908493425e-07,254.99999963402476,BUY
42.67821143456174,254.99999975972685,3.701245322448518e-06,254.9999963222407,BUY
39.32646560761229,254.9999978593072,3.1097242783099584e-05,254.99996909100233,BUY
36.01584549633095,254.99998386239534,0.0002205230551281279,254.9997807482403,BUY
32.736069671800664,254.99989615338487,0.0013312869887186676,254.9986760076763,BUY
29.5077009918555,254.99942479886943,0.006897064755799118,254.99313877537512,BUY
27.132690912023225,254.99723608914022,0.03089597357397244,254.96925589308418,BUY
23.93516651882913,254.98839285882366,0.12051806908208455,254.8800406187701,BUY
21.436779291992583,254.95709775339142,0.41209374116627395,254.58970157162776,BUY
18.876703491653895,254.85949223529582,1.2429152114749369,253.76215219228206,BUY
16.224094831062015,254.58963332240575,3.3261102462995535,251.68651560204972,BUY
14.003306184985089,253.92459041355832,7.941107415773267,247.08678158700081,BUY
13.139666155955165,253.46418896604942,10.906758876344243,244.13029310147743,BUY
12.481654705265703,253.1756756585996,12.70017702419652,242.34223418079196,BUY
11.813361825659221,252.84151958766068,14.725989327877292,240.3223330541246,BUY
11.58717038948472,252.45612350012172,17.003436326923545,238.05136894792648,BUY
10.908596080961216,252.01347767176128,19.551635958156243,235.51023823445098,BUY
10.651560358035645,251.5071716653361,22.389282351902942,232.68025461189038,BUY
10.353398919441984,250.9304135294446,25.534314787631747,229.54347912663064,BUY
9.674824610918476,250.27605697099594,29.003560623838577,226.0830762473787,BUY
9.356100314490767,249.5366369179236,32.812357104986106,222.28369111489204,BUY
9.027094589146037,248.70441374969252,36.97415800473294,218.13184203598934,BUY
8.687807434884286,247.77142631328041,41.50013205222492,213.6163213035267,BUY
8.307394564954441,246.72955366408107,46.39876096841557,208.7285965436799,BUY
7.926981695024597,245.57058527828949,51.67544567470213,203.4632040554427,BUY
7.526005967260706,244.28629927992438,57.332129790906436,197.81812505052716,BUY
7.104467381662771,242.86854801671453,63.36694988222516,191.795135356411,BUY
6.950245947907427,241.30935011010604,69.77392201831944,185.4001190378908,BUY
6.765180227401016,239.60098790139324,76.54267405247654,178.64333654324082,BUY
6.549270220143539,237.73610902455908,83.65823260210628,171.53963840238654,BUY
6.302515926134989,235.70783066290042,91.10087301024662,164.10861620032307,BUY
6.024917345375375,233.50984489650284,98.84603959658165,156.3746835137344,BUY
5.9529473429562145,231.13652342694994,106.86434228082857,148.3670807180529,BUY
5.839851624868964,228.58301987855396,115.12163420538803,140.1197990214344,BUY
5.675348762196601,225.84536782639717,123.57917333109744,131.67142072883178,BUY
5.695911620030643,222.92057269299625,132.19386917078248,123.06487454239583,BUY
5.654785904362553,219.8066956898773,140.9186139079078,114.34710661640237,BUY
5.5622530441093465,216.5029280579406,149.7026951745864,105.56867005299976,BUY
5.438875897105072,213.0096539809435,158.49228579180289,96.78323749312688,BUY
5.449157326022096,209.32850070760645,167.23100386096743,88.04704336731068,BUY
5.408031610354002,205.4623746168263,175.8605347994064,79.41826416662084,BUY
5.325780179017823,201.41548219268,184.3213052854203,70.95634672020782,BUY
2.313321506330137,197.1933351363603,192.55319767302342,62.72129587282717,BUY
5.181840174179502,192.80273912412832,200.49629229444216,54.77293409928178,BUY
5.120151600677368,188.25176601758702,208.09162422746795,47.17014643798336,BUY
5.161277316345458,183.54970963689158,215.28194058906718,39.97012464517319,BUY
5.007055882590115,178.70702551193125,222.01244424519436,33.22762464907609,BUY
4.965930166922021,173.7352553231365,228.23151000283804,26.994251212645747,WRITE
4.863115877751798,168.64693702480542,233.8913598710333,21.317783200837518,BUY
4.863115877751798,163.45550190329317,238.94868482561847,16.241552006386073,BUY
1.3674300459640338,158.17516005323708,243.36520166366842,11.803884545705841,BUY
4.7294573018304975,152.82077595229748,247.1081349531866,8.037620823769696,BUY
4.7294573018304975,147.40773597392405,250.15061572913447,4.969714428354213,BUY
4.678050157245387,141.95180979549016,252.4719904119696,2.6209224970696594,BUY
0.8327957422788491,136.46900773334787,254.05803537564861,1.0055897545409054,BUY
0.0,130.9754360665606,254.90107461478178,0.1315292012726954,BUY
2.4469800822514305,125.4871580559517,255.0,0.0,BUY
4.986493024756068,120.02010808412878,254.36019561203176,0.6057811082016695,BUY
5.109870171760342,114.58986077208365,252.99336955720406,1.9373372955173078,BUY
5.192121603096525,109.211535920275,250.91729844383138,3.977072409431303,BUY
6.220264494798808,103.89969266669654,248.15549129803773,6.701663154297232,BUY
5.233247318764619,98.66821637111043,244.736781085235,10.08246525996474,BUY
5.325780179017823,93.53021689124365,240.69485315294122,14.085982765554915,BUY
5.366905894685912,88.49793918738531,236.06772080207503,18.674390249816177,BUY
5.377187323602936,83.58268696626405,230.89715881736416,23.806097212660823,BUY
3.9891944198048552,78.79475984322386,225.22810614055385,29.43634345529442,BUY
5.551971615192323,74.14340426912298,219.10804895650787,35.517814216051406,BUY
5.7267559067817135,69.63677824050683,212.58639529564115,42.0012639799897,BUY
5.870695911620034,65.28192959342384,205.7138518538929,48.83613827833916,BUY
5.973510200790261,61.084787477210114,198.5418131173677,55.9711834021533,BUY
5.387468752519959,57.050166418397225,191.12177208147583,63.35503474726937,BUY
6.066043061043464,53.18178221976503,183.50476090432005,70.93677545255264,BUY
3.598500120957987,49.482278797811794,175.74082876440008,78.66645805846993,BUY
6.158575921296672,45.953264945165024,167.87856303805967,86.49558306384372,BUY
6.2305459237158285,42.59535991368312,159.96465870531114,94.37752946138092,BUY
6.271671639383921,39.40824664923275,152.04353966663697,102.26793355532352,BUY
6.271671639383921,36.39073147014655,144.15703443951983,110.12501357623017,BUY
6.436174502056286,33.54080896692379,136.34410752774022,117.90983878098699,BUY
6.549270220143539,30.855730909423016,128.64064664529866,125.58654283616949,BUY
6.6418030803967465,28.332077977631393,121.07930494999546,133.12248230881943,BUY
6.271671639383921,25.965833180618883,113.68939651556029,140.48834201411705,BUY
6.939964518990407,23.752455893275233,106.49684245977957,147.6581897812884,BUY
7.155874526247884,21.68695551877565,99.52416445681192,154.6094838888524,BUY
7.351221675671319,19.763963873983577,92.79052179960921,161.32303698330782,BUY
7.515724538343682,17.977805492250493,86.31178774486375,167.7829407303894,BUY
7.649383114264979,16.322565140621734,80.10066056487287,173.97645575740657,BUY
8.019514555277803,14.79215195381708,74.16680454358303,179.89387163411757,BUY
8.112047415531007,13.380359693100063,68.51701607977411,185.52834171573832,BUY
8.441053140875738,12.080922742199524,63.15541008932428,190.8756976446376,BUY
8.482178856543829,10.887567552855707,58.083622019336104,195.93424818848015,BUY
8.790621724054516,9.794059347812592,53.30102098740197,200.7045668939256,BUY
9.705668897669542,5.61358727953784,33.57295186956015,220.38352297415622,BUY
12.687283283606163,3.0761578202185333,20.059691222247505,233.8631343918084,BUY
12.070397548584795,1.6132626017790015,11.39261051455386,242.50621887357764,BUY
12.975163293282804,0.8105926241048534,6.1621169185210505,247.71819142622115,BUY
14.054713329570195,0.39065792638900676,3.1801654911440496,250.68443968698585,BUY
14.877227642932024,0.18079870950748142,1.5687442639386353,252.28146215155556,BUY
16.172687686476902,0.08044754345099608,0.7409225747170806,253.09541585014372,BUY
17.283082009515365,0.03445589030074082,0.33559480670665415,253.48705430561034,BUY
18.249536327715507,0.014221917446760695,0.14599985617437805,253.66299959698935,BUY
18.96923635190711,0.005663708220962003,0.061098234194930955,253.7342470445376,BUY
21.138617853398923,0.0008104019736776517,0.009577231178056877,253.7584244580201,BUY
27.338319490363688,3.620779957524893e-06,5.180478082423754e-05,253.69951639525894,BUY
31.985525360857995,8.130546236273462e-09,1.355243665142834e-07,253.63112439052753,BUY
38.48338843641642,1.0220158053186972e-11,1.9299331544705569e-10,253.56268075254798,BUY
44.63168292879607,0.0,1.649157254409211e-13,253.4942369790625,BUY
50.420127409079925,0.0,9.168649089732515e-17,253.4257932053837,BUY
55.83844044835095,0.0,3.548373221496942e-20,253.35734943170473,BUY
61.02028062253046,0.0,1.0118516779494003e-23,253.28890565802578,BUY
65.95536650270141,0.0,2.230667741084245e-27,253.2204618843468,BUY
70.65397951778084,0.0,3.960150969753262e-31,253.15201811066777,BUY
